subj,age,gender,modality,algorithm,n_trials,pse,jnd,sc,ss,lat_range,lat_entropy,jnd_log,age_z,modality_algorithm,n_trials_f
A06,52,Female,Auditory,Fixed,160,493.743802172346,44.1551340355456,500,143.614066163451,450,3.32192809488736,3.8101039840417426,2.8820499975336826,Auditory_Fixed,160
A06,52,Female,Auditory,Adaptive,180,495.901030736954,42.1672324240952,494.294444444444,50.8222061288416,346,2.45376446126252,3.765081698735291,2.8820499975336826,Auditory_Adaptive,180
A06,52,Female,Auditory,Fixed,180,491.658648214271,43.9609596869148,500,143.614066163451,450,3.32192809488736,3.805794550707155,2.8820499975336826,Auditory_Fixed,180
A06,52,Female,Auditory,Adaptive,200,495.979422010729,38.9647705914278,497.07,52.1178961586133,346,2.48953605596104,3.687998330824495,2.8820499975336826,Auditory_Adaptive,200
A06,52,Female,Auditory,Fixed,200,487.484619796205,45.7860633649206,500,143.614066163451,450,3.32192809488736,3.8455853672271028,2.8820499975336826,Auditory_Fixed,200
A07,27,Male,Auditory,Adaptive,40,489.803923644004,28.2704947503007,501.175,69.0300251702113,331,2.88048202372184,3.3765800035435407,-0.33452366042801696,Auditory_Adaptive,40
A07,27,Male,Auditory,Fixed,40,449.933543675252,44.517883355223,500,143.614066163451,450,3.32192809488736,3.818105289510745,-0.33452366042801696,Auditory_Fixed,40
A07,27,Male,Auditory,Adaptive,60,494.328441277882,26.7113666384098,498.35,59.7524964610964,331,2.66467768955241,3.3218426769806273,-0.33452366042801696,Auditory_Adaptive,60
A07,27,Male,Auditory,Fixed,60,449.988407238281,35.6873884982576,500,143.614066163451,450,3.32192809488736,3.602433058353921,-0.33452366042801696,Auditory_Fixed,60
A07,27,Male,Auditory,Adaptive,80,491.585482998864,25.2159167985341,496.725,53.8267997841224,331,2.47122255266372,3.2663667377011394,-0.33452366042801696,Auditory_Adaptive,80
A07,27,Male,Auditory,Fixed,80,456.260560740505,32.8202370644153,500,143.614066163451,450,3.32192809488736,3.521059353038277,-0.33452366042801696,Auditory_Fixed,80
A07,27,Male,Auditory,Adaptive,100,485.738918046988,25.3589227702935,495.78,49.4179279209479,331,2.34156876488042,3.271806842725423,-0.33452366042801696,Auditory_Adaptive,100
A07,27,Male,Auditory,Fixed,100,464.949552880119,46.1907006572862,500,143.614066163451,450,3.32192809488736,3.854196853207775,-0.33452366042801696,Auditory_Fixed,100
A07,27,Male,Auditory,Adaptive,120,490.438206853833,26.6251484413378,494.925,46.4442609479363,331,2.24161432049742,3.3187265332655724,-0.33452366042801696,Auditory_Adaptive,120
A07,27,Male,Auditory,Fixed,120,470.796615070016,45.6460377061481,500,143.614066163451,450,3.32192809488736,3.8425879870546953,-0.33452366042801696,Auditory_Fixed,120
A07,27,Male,Auditory,Adaptive,140,490.055923889476,25.9204893850519,494.871428571429,44.5266922927205,331,2.141319820128,3.2928876838479844,-0.33452366042801696,Auditory_Adaptive,140
A07,27,Male,Auditory,Fixed,140,478.548275729124,44.9067840954556,500,143.614066163451,450,3.32192809488736,3.8266129077888253,-0.33452366042801696,Auditory_Fixed,140
A07,27,Male,Auditory,Adaptive,160,487.504427428326,24.5022255651695,494.34375,42.7356769682838,331,2.07063703470564,3.2387657254214295,-0.33452366042801696,Auditory_Adaptive,160
A07,27,Male,Auditory,Fixed,160,474.982580510927,42.3863285653218,500,143.614066163451,450,3.32192809488736,3.770144381464655,-0.33452366042801696,Auditory_Fixed,160
